
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:2D:21:E1:B1:59, 2025-12-10 08:53:18, 2025-12-10 08:53:24,  8, 270, WPA2, CCMP, PSK, -53,       32,     1254,   0.  0.  0.  0,  13, ASJA_STARLINK, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
90:94:97:DC:4C:1C, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      260, CC:2D:21:E1:B1:59,
9A:CE:A1:D9:AE:69, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -20,      278, CC:2D:21:E1:B1:59,
46:29:5C:28:05:1C, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      255, CC:2D:21:E1:B1:59,
5E:36:B6:70:EF:5E, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -48,      251, CC:2D:21:E1:B1:59,
14:56:8E:09:EF:55, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      277, CC:2D:21:E1:B1:59,
54:B1:21:33:78:48, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      250, CC:2D:21:E1:B1:59,
A4:4E:31:AB:C8:D8, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -24,      322, CC:2D:21:E1:B1:59,
BE:E0:81:D6:AF:E3, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -18,      222, CC:2D:21:E1:B1:59,
34:15:00:B8:EC:8F, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      252, CC:2D:21:E1:B1:59,
28:C2:DD:F7:7C:D9, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -50,      249, CC:2D:21:E1:B1:59,ASJA_STARLINK
38:37:8B:C5:72:72, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -28,      231, CC:2D:21:E1:B1:59,
4C:C0:0A:C4:16:EF, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      209, CC:2D:21:E1:B1:59,
10:7B:44:66:BD:71, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -28,      269, CC:2D:21:E1:B1:59,
10:02:B5:B9:AF:5A, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -28,      351, CC:2D:21:E1:B1:59,
D8:FB:5E:2F:1F:30, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -54,      275, CC:2D:21:E1:B1:59,ASJA_STARLINK
0C:B5:27:D5:9B:DC, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -28,      281, CC:2D:21:E1:B1:59,ASJA_STARLINK
EE:0C:FE:17:21:40, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      301, CC:2D:21:E1:B1:59,
22:7E:F5:C3:55:06, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -48,      231, CC:2D:21:E1:B1:59,
C0:F4:E6:9A:47:4F, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -20,      210, CC:2D:21:E1:B1:59,
BA:D0:F2:DE:23:6C, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -48,      345, CC:2D:21:E1:B1:59,ASJA_STARLINK
38:A4:ED:03:C2:7B, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -28,      242, CC:2D:21:E1:B1:59,
3C:7A:F0:73:ED:BA, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -54,      273, CC:2D:21:E1:B1:59,
00:DB:DF:03:15:83, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -50,      312, CC:2D:21:E1:B1:59,
22:A0:D9:54:98:CF, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      278, CC:2D:21:E1:B1:59,
FC:77:74:2B:68:3F, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      269, CC:2D:21:E1:B1:59,
26:75:0C:43:F8:CD, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      216, CC:2D:21:E1:B1:59,
16:35:F2:E8:2C:57, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      236, CC:2D:21:E1:B1:59,
E6:24:0E:30:E4:4B, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -54,      270, CC:2D:21:E1:B1:59,
FC:BE:7B:7F:B2:F7, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -54,      640, CC:2D:21:E1:B1:59,ASJA_STARLINK
E0:CC:F8:32:BF:8C, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -28,      244, CC:2D:21:E1:B1:59,ASJA_STARLINK
BE:F8:71:17:8B:0C, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -28,      265, CC:2D:21:E1:B1:59,
FE:78:6D:3C:D8:3C, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -26,      242, CC:2D:21:E1:B1:59,
7A:8D:53:91:1E:44, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -28,      297, CC:2D:21:E1:B1:59,
28:C2:DD:42:CF:15, 2025-12-10 08:53:18, 2025-12-10 08:53:24, -20,       97, CC:2D:21:E1:B1:59,

